date,ticket_id,category,resolution_time_hrs,customer_satisfaction,agent_id
2023-01-01,TCK-10000,Billing,61.8,1,AGT-47
2023-01-01,TCK-10001,Refunds,66.3,2,AGT-38
2023-01-01,TCK-10002,Refunds,66.3,3,AGT-31
2023-01-01,TCK-10003,Technical,18.0,4,AGT-50
2023-01-01,TCK-10004,Technical,56.5,3,AGT-38
2023-01-01,TCK-10005,Technical,34.2,2,AGT-45
2023-01-01,TCK-10006,Refunds,48.8,2,AGT-27
2023-01-01,TCK-10007,Billing,9.8,4,AGT-12
2023-01-01,TCK-10008,Account,12.0,1,AGT-50
2023-01-01,TCK-10009,Account,69.3,1,AGT-15
2023-01-02,TCK-10010,Technical,31.1,1,AGT-22
2023-01-02,TCK-10011,Billing,23.5,1,AGT-35
2023-01-02,TCK-10012,Refunds,1.5,4,AGT-26
2023-01-02,TCK-10013,Billing,8.9,5,AGT-39
2023-01-02,TCK-10014,Technical,52.1,5,AGT-34
2023-01-02,TCK-10015,Technical,26.9,1,AGT-32
2023-01-02,TCK-10016,Technical,0.7,4,AGT-11
2023-01-02,TCK-10017,Technical,56.1,5,AGT-35
2023-01-02,TCK-10018,Refunds,46.9,4,AGT-13
2023-01-02,TCK-10019,Refunds,61.2,4,AGT-12
2023-01-03,TCK-10020,Account,64.0,2,AGT-30
2023-01-03,TCK-10021,Account,36.0,4,AGT-34
2023-01-03,TCK-10022,Technical,24.4,3,AGT-46
2023-01-03,TCK-10023,Refunds,21.1,1,AGT-24
2023-01-03,TCK-10024,Billing,71.7,2,AGT-45
2023-01-03,TCK-10025,Technical,34.1,3,AGT-45
2023-01-03,TCK-10026,Account,34.1,1,AGT-26
2023-01-03,TCK-10027,Refunds,21.3,4,AGT-46
2023-01-03,TCK-10028,Account,63.9,3,AGT-44
2023-01-03,TCK-10029,Technical,65.8,1,AGT-49
2023-01-03,TCK-10030,Refunds,57.2,1,AGT-17
2023-01-04,TCK-10031,Billing,24.1,2,AGT-38
2023-01-04,TCK-10032,Account,35.5,4,AGT-38
2023-01-04,TCK-10033,Billing,10.6,1,AGT-19
2023-01-04,TCK-10034,Billing,11.0,2,AGT-30
2023-01-04,TCK-10035,Refunds,24.2,4,AGT-49
