date,transaction_id,user_id,product_category,price,qty,total_revenue,discount_applied
2021-01-01 00:24:00,TXN-100000,USR-4164,Electronics,395.86,3,1080.7,0.09
2021-01-01 00:32:00,TXN-100001,USR-3425,Toys,419.95,2,839.9,0.0
2021-01-01 00:43:00,TXN-100002,USR-9025,Electronics,325.13,2,507.2,0.22
2021-01-01 01:02:00,TXN-100003,USR-5592,Clothing,64.79,2,129.58,0.0
2021-01-01 01:25:00,TXN-100004,USR-1496,Home,13.0,5,65.0,0.0
2021-01-01 01:43:00,TXN-100005,USR-2050,Electronics,472.9,4,1324.12,0.3
2021-01-01 01:54:00,TXN-100006,USR-6847,Electronics,454.13,5,2270.65,0.0
2021-01-01 02:19:00,TXN-100007,USR-6436,Electronics,99.69,1,99.69,0.0
2021-01-01 03:11:00,TXN-100008,USR-2032,Sports,93.56,2,187.12,0.0
2021-01-01 03:18:00,TXN-100009,USR-4841,Toys,424.4,2,848.8,0.0
2021-01-01 03:47:00,TXN-100010,USR-7690,Sports,328.59,5,1642.95,0.0
2021-01-01 03:55:00,TXN-100011,USR-1319,Toys,377.33,1,377.33,0.0
2021-01-01 04:34:00,TXN-100012,USR-8257,Home,115.16,1,115.16,0.0
2021-01-01 05:15:00,TXN-100013,USR-7690,Home,160.41,5,802.05,0.0
2021-01-01 05:26:00,TXN-100014,USR-7511,Toys,408.71,5,2043.55,0.0
2021-01-01 06:23:00,TXN-100015,USR-1864,Clothing,442.81,2,735.06,0.17
2021-01-01 07:09:00,TXN-100016,USR-3432,Home,197.35,1,197.35,0.0
2021-01-01 07:30:00,TXN-100017,USR-4193,Clothing,482.91,3,1448.73,0.0
2021-01-01 07:50:00,TXN-100018,USR-1952,Home,302.71,5,1513.55,0.0
2021-01-01 08:34:00,TXN-100019,USR-6061,Home,98.35,2,196.7,0.0
2021-01-01 09:04:00,TXN-100020,USR-8639,Home,111.3,2,222.6,0.0
2021-01-01 09:47:00,TXN-100021,USR-1061,Electronics,187.14,2,374.28,0.0
2021-01-01 09:53:00,TXN-100022,USR-2992,Electronics,315.28,3,945.84,0.0
2021-01-01 10:12:00,TXN-100023,USR-9401,Sports,12.3,3,36.9,0.0
2021-01-01 11:12:00,TXN-100024,USR-6228,Clothing,499.05,2,998.1,0.0
2021-01-01 11:37:00,TXN-100025,USR-9294,Home,29.8,4,119.2,0.0
2021-01-01 12:24:00,TXN-100026,USR-4034,Toys,11.31,1,9.73,0.14
2021-01-01 13:09:00,TXN-100027,USR-2913,Toys,217.55,5,794.06,0.27
2021-01-01 13:37:00,TXN-100028,USR-8169,Clothing,434.35,4,1737.4,0.0
2021-01-01 14:29:00,TXN-100029,USR-9975,Clothing,409.35,3,1228.05,0.0
2021-01-01 14:42:00,TXN-100030,USR-5591,Home,309.43,1,309.43,0.0
2021-01-01 15:05:00,TXN-100031,USR-1323,Electronics,340.16,4,1360.64,0.0
2021-01-01 15:19:00,TXN-100032,USR-9507,Toys,161.77,5,808.85,0.0
2021-01-01 16:03:00,TXN-100033,USR-8717,Home,322.0,2,644.0,0.0
2021-01-01 16:22:00,TXN-100034,USR-4214,Home,325.57,4,1302.28,0.0
2021-01-01 16:30:00,TXN-100035,USR-4049,Clothing,391.87,3,1175.61,0.0
2021-01-01 16:42:00,TXN-100036,USR-7718,Clothing,27.42,2,54.84,0.0
2021-01-01 16:52:00,TXN-100037,USR-1418,Clothing,322.91,3,745.92,0.23
2021-01-01 17:15:00,TXN-100038,USR-2351,Toys,57.96,3,173.88,0.0
2021-01-01 18:12:00,TXN-100039,USR-7199,Clothing,120.43,5,602.15,0.0
2021-01-01 18:42:00,TXN-100040,USR-8023,Toys,78.42,3,235.26,0.0
2021-01-01 19:22:00,TXN-100041,USR-6200,Home,180.64,3,503.99,0.07
2021-01-01 20:05:00,TXN-100042,USR-1636,Home,210.68,3,632.04,0.0
2021-01-01 21:03:00,TXN-100043,USR-4706,Sports,237.48,2,474.96,0.0
2021-01-01 21:15:00,TXN-100044,USR-5395,Sports,99.43,4,322.15,0.19
2021-01-01 22:12:00,TXN-100045,USR-6146,Toys,294.31,3,882.93,0.0
2021-01-01 22:20:00,TXN-100046,USR-7387,Clothing,399.91,5,1999.55,0.0
2021-01-01 23:00:00,TXN-100047,USR-4747,Electronics,12.43,2,24.86,0.0
2021-01-01 23:28:00,TXN-100048,USR-7884,Home,165.14,5,611.02,0.26
2021-01-02 00:17:00,TXN-100049,USR-4243,Clothing,470.02,3,1142.15,0.19
2021-01-02 00:46:00,TXN-100050,USR-4944,Clothing,270.24,5,1351.2,0.0
2021-01-02 00:59:00,TXN-100051,USR-6218,Toys,449.91,3,1349.73,0.0
2021-01-02 01:59:00,TXN-100052,USR-3759,Electronics,497.1,3,1491.3,0.0
2021-01-02 02:13:00,TXN-100053,USR-4845,Sports,428.33,4,1713.32,0.0
2021-01-02 02:24:00,TXN-100054,USR-8101,Toys,484.96,5,2424.8,0.0
2021-01-02 03:01:00,TXN-100055,USR-3219,Clothing,107.67,5,538.35,0.0
2021-01-02 03:46:00,TXN-100056,USR-7840,Electronics,235.74,2,471.48,0.0
2021-01-02 04:43:00,TXN-100057,USR-5934,Electronics,240.66,2,385.06,0.2
2021-01-02 05:43:00,TXN-100058,USR-9040,Electronics,329.61,1,329.61,0.0
2021-01-02 06:12:00,TXN-100059,USR-6778,Clothing,380.59,1,380.59,0.0
2021-01-02 06:25:00,TXN-100060,USR-7485,Clothing,43.2,3,97.2,0.25
2021-01-02 07:01:00,TXN-100061,USR-6040,Home,313.14,4,1252.56,0.0
2021-01-02 07:26:00,TXN-100062,USR-5842,Home,147.55,4,590.2,0.0
2021-01-02 08:10:00,TXN-100063,USR-6797,Sports,332.08,4,1328.32,0.0
2021-01-02 09:03:00,TXN-100064,USR-2835,Clothing,449.48,1,449.48,0.0
2021-01-02 09:45:00,TXN-100065,USR-9307,Sports,47.33,1,47.33,0.0
2021-01-02 10:02:00,TXN-100066,USR-3633,Sports,353.11,2,600.29,0.15
2021-01-02 10:18:00,TXN-100067,USR-1644,Electronics,235.42,1,235.42,0.0
2021-01-02 10:23:00,TXN-100068,USR-9926,Sports,440.55,2,881.1,0.0
2021-01-02 11:13:00,TXN-100069,USR-3314,Toys,67.51,5,286.92,0.15
2021-01-02 11:53:00,TXN-100070,USR-9434,Home,262.84,5,1314.2,0.0
2021-01-02 12:30:00,TXN-100071,USR-2199,Toys,487.73,1,487.73,0.0
2021-01-02 13:03:00,TXN-100072,USR-9271,Home,346.39,2,692.78,0.0
2021-01-02 13:31:00,TXN-100073,USR-6257,Electronics,23.53,2,39.53,0.16
2021-01-02 14:02:00,TXN-100074,USR-3656,Toys,137.65,3,412.95,0.0
2021-01-02 14:32:00,TXN-100075,USR-1559,Electronics,101.18,1,101.18,0.0
2021-01-02 15:11:00,TXN-100076,USR-2495,Home,407.17,3,1221.51,0.0
2021-01-02 15:36:00,TXN-100077,USR-6507,Home,221.44,5,1107.2,0.0
2021-01-02 16:35:00,TXN-100078,USR-6135,Home,50.72,3,152.16,0.0
2021-01-02 16:47:00,TXN-100079,USR-4876,Home,441.83,1,437.41,0.01
2021-01-02 17:28:00,TXN-100080,USR-2515,Toys,359.02,2,718.04,0.0
2021-01-02 17:59:00,TXN-100081,USR-9667,Electronics,129.94,2,259.88,0.0
2021-01-02 18:40:00,TXN-100082,USR-8453,Clothing,242.2,2,484.4,0.0
2021-01-02 18:49:00,TXN-100083,USR-6548,Toys,424.28,4,1697.12,0.0
2021-01-02 19:39:00,TXN-100084,USR-1442,Sports,374.11,3,886.64,0.21
2021-01-02 20:16:00,TXN-100085,USR-7442,Toys,356.43,4,1112.06,0.22
2021-01-02 20:51:00,TXN-100086,USR-3803,Toys,229.19,4,916.76,0.0
2021-01-02 21:31:00,TXN-100087,USR-7882,Clothing,29.51,4,118.04,0.0
2021-01-02 22:04:00,TXN-100088,USR-2405,Home,488.36,1,488.36,0.0
2021-01-02 22:24:00,TXN-100089,USR-2905,Toys,266.14,1,266.14,0.0
2021-01-02 22:31:00,TXN-100090,USR-6829,Clothing,55.25,1,55.25,0.0
2021-01-02 22:57:00,TXN-100091,USR-5116,Sports,347.58,3,1042.74,0.0
