date,ticker,open_price,high,low,close_price,volume
2015-01-02,AAPL,192.79,196.29,186.91,188.53,42582569
2015-01-05,AAPL,189.4,192.27,188.37,190.16,42378978
2015-01-06,AAPL,191.52,195.41,188.39,193.83,8275927
2015-01-07,AAPL,193.13,195.9,192.45,195.22,19368700
2015-01-08,AAPL,195.83,196.71,194.81,195.37,21247589
2015-01-09,AAPL,193.95,196.4,189.42,192.31,1245890
2015-01-12,AAPL,192.18,192.94,188.01,188.62,20323550
2015-01-13,AAPL,187.55,189.38,186.5,187.78,39553820
2015-01-14,AAPL,189.65,192.01,185.78,189.3,11224586
2015-01-15,AAPL,191.19,192.37,188.31,190.06,2402817
2015-01-16,AAPL,189.27,192.12,187.36,190.93,29748267
2015-01-19,AAPL,189.45,192.22,187.96,190.24,34128055
2015-01-20,AAPL,191.08,191.57,186.9,188.72,7232179
2015-01-21,AAPL,188.26,191.87,187.09,188.21,31508801
2015-01-22,AAPL,187.66,191.27,184.28,191.05,9331438
2015-01-23,AAPL,189.79,192.35,189.73,190.7,30162969
2015-01-26,AAPL,192.21,195.74,187.15,188.63,26783841
2015-01-27,AAPL,187.47,190.02,185.44,188.7,14955552
2015-01-28,AAPL,188.92,194.87,186.43,192.31,29674997
2015-01-29,AAPL,192.99,195.57,189.1,189.17,44300878
2015-01-30,AAPL,189.16,192.67,188.36,190.41,11914325
2015-02-02,AAPL,188.96,191.21,187.51,188.11,7328768
2015-02-03,AAPL,187.99,188.8,184.8,187.33,28600897
2015-02-04,AAPL,185.66,189.39,183.05,186.46,42642071
2015-02-05,AAPL,185.08,189.65,184.3,188.13,4599310
2015-02-06,AAPL,189.89,194.9,188.97,191.48,29583480
2015-02-09,AAPL,192.56,195.6,190.84,192.23,40978334
2015-02-10,AAPL,190.41,194.23,188.34,191.15,1453633
2015-02-11,AAPL,191.4,194.7,191.17,191.26,34068668
2015-02-12,AAPL,191.72,193.93,186.74,190.15,3973276
2015-02-13,AAPL,189.26,192.11,186.13,187.01,13092510
2015-02-16,AAPL,185.63,186.19,182.27,183.35,10463528
2015-02-17,AAPL,184.56,188.17,180.1,180.94,45665590
2015-02-18,AAPL,179.47,180.26,176.18,179.89,10689558
2015-02-19,AAPL,178.7,181.59,174.98,177.16,36934282
2015-02-20,AAPL,176.22,179.27,172.56,175.17,10952936
2015-02-23,AAPL,175.07,177.37,174.53,175.34,42294335
2015-02-24,AAPL,175.55,176.04,172.7,175.21,2536897
2015-02-25,AAPL,175.83,176.12,175.72,176.03,39953852
2015-02-26,AAPL,174.82,176.16,174.61,175.78,11967164
2015-02-27,AAPL,177.27,177.83,175.37,177.41,24290671
2015-03-02,AAPL,177.86,178.09,174.03,176.24,33519640
2015-03-03,AAPL,176.68,181.01,174.52,179.13,29216870
2015-03-04,AAPL,179.05,181.05,175.16,177.81,25123499
2015-03-05,AAPL,177.44,179.82,172.18,174.69,24285254
2015-03-06,AAPL,174.8,179.39,174.38,176.09,34089051
2015-03-09,AAPL,176.07,179.43,173.0,177.31,38993876
2015-03-10,AAPL,176.67,176.69,174.65,175.82,46788565
2015-03-11,AAPL,176.61,178.45,171.54,172.98,9347194
2015-03-12,AAPL,173.35,177.19,172.79,176.36,24857617
2015-03-13,AAPL,177.6,180.67,175.89,176.76,4115870
2015-03-16,AAPL,177.44,182.33,176.56,179.74,11654435
2015-03-17,AAPL,180.41,183.17,180.19,181.01,13256608
2015-03-18,AAPL,182.16,183.89,181.48,183.31,23705053
2015-03-19,AAPL,183.07,185.38,181.13,184.09,15954382
2015-03-20,AAPL,183.61,186.24,181.44,185.51,24042969
2015-03-23,AAPL,186.24,191.58,184.52,188.44,28543903
2015-03-24,AAPL,187.63,193.01,183.96,190.05,28042496
2015-03-25,AAPL,190.04,196.5,187.94,193.22,20657608
2015-03-26,AAPL,194.64,198.09,193.48,193.92,8234212
2015-03-27,AAPL,192.48,199.77,190.14,196.48,2998895
2015-03-30,AAPL,197.82,202.92,194.91,201.08,20442068
2015-03-31,AAPL,200.82,202.14,198.06,201.62,18730436
2015-04-01,AAPL,199.92,203.06,199.8,200.18,25198381
2015-04-02,AAPL,202.16,208.36,200.56,207.37,46279228
