employee_id,department,years_at_company,satisfaction_score,last_evaluation,salary_usd,left_company
EMP-1000,Engineering,15,3.2,2.8,86278,0
EMP-1001,HR,7,4.0,1.7,188824,0
EMP-1002,Sales,3,2.5,4.8,197367,0
EMP-1003,HR,4,2.0,4.4,187940,1
EMP-1004,HR,14,4.3,1.1,181172,0
EMP-1005,Engineering,1,2.8,2.6,91695,0
EMP-1006,Marketing,13,3.8,3.7,189707,0
EMP-1007,Engineering,2,3.7,3.5,50374,0
EMP-1008,Marketing,10,3.1,1.9,190246,0
EMP-1009,HR,5,2.0,2.7,67919,1
EMP-1010,Sales,5,2.6,1.9,125855,0
EMP-1011,Finance,4,3.2,2.8,93446,0
EMP-1012,HR,8,3.5,4.3,89952,0
EMP-1013,Marketing,1,2.1,1.7,87774,1
EMP-1014,HR,9,4.2,4.8,119732,0
EMP-1015,Marketing,14,2.8,4.6,132440,0
EMP-1016,HR,13,2.1,3.2,88173,1
EMP-1017,Engineering,8,1.8,2.4,59308,1
EMP-1018,Engineering,5,4.7,1.2,158178,0
EMP-1019,HR,8,4.9,3.1,103370,0
EMP-1020,Engineering,6,3.1,4.8,55699,1
EMP-1021,Finance,6,1.3,4.6,143132,1
EMP-1022,HR,3,2.9,4.3,152461,0
EMP-1023,HR,3,1.3,1.1,138290,0
EMP-1024,Sales,11,2.7,1.5,160313,1
EMP-1025,HR,2,3.3,4.9,66137,0
EMP-1026,Sales,15,1.9,4.1,98131,0
EMP-1027,Engineering,6,2.9,1.7,122460,0
EMP-1028,Engineering,10,3.1,4.6,183014,0
EMP-1029,HR,13,1.5,4.9,89521,1
EMP-1030,Finance,15,3.5,3.5,57217,1
EMP-1031,Marketing,13,3.6,4.9,80202,0
EMP-1032,Finance,15,4.8,2.2,189070,0
EMP-1033,Marketing,2,2.1,2.6,133882,0
EMP-1034,Finance,2,4.4,2.1,92763,0
EMP-1035,Marketing,3,1.4,4.4,76154,1
EMP-1036,Finance,5,1.7,4.1,118613,1
EMP-1037,HR,5,4.3,3.2,163202,0
EMP-1038,HR,6,3.5,3.0,101682,0
EMP-1039,Marketing,12,1.3,2.6,151935,0
EMP-1040,Marketing,1,3.4,4.9,170349,0
EMP-1041,Marketing,9,4.2,4.1,51071,0
EMP-1042,Finance,8,3.3,1.8,71286,0
EMP-1043,HR,12,1.4,4.3,67667,1
EMP-1044,Engineering,1,1.3,1.2,163625,0
EMP-1045,Engineering,5,2.9,2.6,195451,0
EMP-1046,Finance,3,4.1,3.1,148192,0
EMP-1047,HR,4,4.0,3.4,61573,0
EMP-1048,Finance,1,1.7,1.7,59999,0
EMP-1049,HR,11,1.2,1.1,145567,1
EMP-1050,HR,8,1.5,4.6,64458,1
EMP-1051,Marketing,4,3.3,2.9,159999,0
EMP-1052,Finance,15,3.2,3.8,137636,0
