date,campaign_id,platform,ad_spend,impressions,clicks,conversions,cost_per_acquisition
2022-06-01,CAMP-1000,TikTok,342.36,19140,956,38,9.01
2022-06-01,CAMP-1001,LinkedIn,1588.6,99820,4617,408,3.89
2022-06-01,CAMP-1002,Facebook,715.63,35224,748,30,23.85
2022-06-01,CAMP-1003,LinkedIn,3567.29,93398,3057,228,15.65
2022-06-01,CAMP-1004,TikTok,4583.45,210803,5822,301,15.23
2022-06-01,CAMP-1005,Google Ads,93.67,7547,143,4,23.42
2022-06-01,CAMP-1006,LinkedIn,4533.34,255890,3422,99,45.79
2022-06-01,CAMP-1007,Facebook,1209.72,113823,1511,81,14.93
2022-06-01,CAMP-1008,Google Ads,779.13,63174,2401,164,4.75
2022-06-02,CAMP-1009,Google Ads,3238.48,32887,616,58,55.84
2022-06-02,CAMP-1010,LinkedIn,4981.68,266675,3180,232,21.47
2022-06-02,CAMP-1011,Google Ads,3697.65,45687,2085,61,60.62
2022-06-02,CAMP-1012,Google Ads,3677.11,225920,9547,225,16.34
2022-06-02,CAMP-1013,TikTok,4177.71,178614,4383,320,13.06
2022-06-02,CAMP-1014,TikTok,308.15,17000,783,67,4.6
2022-06-02,CAMP-1015,Facebook,3917.12,86823,4337,175,22.38
2022-06-02,CAMP-1016,Google Ads,3929.53,128745,5354,171,22.98
2022-06-02,CAMP-1017,LinkedIn,2551.07,28836,1177,96,26.57
2022-06-03,CAMP-1018,Google Ads,2217.04,118293,5372,128,17.32
2022-06-03,CAMP-1019,Facebook,4193.67,99041,4233,232,18.08
2022-06-03,CAMP-1020,TikTok,3842.34,369709,17632,899,4.27
2022-06-03,CAMP-1021,Facebook,2730.49,119920,4001,299,9.13
2022-06-03,CAMP-1022,Google Ads,2649.15,217966,5844,390,6.79
2022-06-03,CAMP-1023,TikTok,3995.88,70481,2272,70,57.08
2022-06-03,CAMP-1024,Google Ads,780.23,38928,1538,70,11.15
2022-06-03,CAMP-1025,Google Ads,2514.58,153639,6390,422,5.96
2022-06-03,CAMP-1026,TikTok,1517.31,84230,2659,137,11.08
2022-06-03,CAMP-1027,Facebook,521.3,37310,1747,110,4.74
2022-06-03,CAMP-1028,Facebook,3229.62,210102,9422,685,4.71
2022-06-04,CAMP-1029,Google Ads,4659.99,60930,1509,117,39.83
2022-06-04,CAMP-1030,Google Ads,2864.27,114993,3296,227,12.62
2022-06-04,CAMP-1031,Google Ads,3743.99,257799,5986,557,6.72
2022-06-04,CAMP-1032,Google Ads,3418.48,318467,9283,533,6.41
2022-06-04,CAMP-1033,TikTok,2701.25,162434,3228,111,24.34
2022-06-04,CAMP-1034,TikTok,4498.04,315093,12033,476,9.45
2022-06-04,CAMP-1035,Facebook,1802.67,139504,3885,330,5.46
2022-06-04,CAMP-1036,Google Ads,1130.08,37113,650,16,70.63
2022-06-04,CAMP-1037,LinkedIn,3665.41,105338,1664,83,44.16
2022-06-04,CAMP-1038,LinkedIn,644.05,9149,112,7,92.01
2022-06-05,CAMP-1039,Facebook,1171.99,72429,3510,236,4.97
2022-06-05,CAMP-1040,TikTok,3090.99,49645,1398,118,26.19
2022-06-05,CAMP-1041,TikTok,2535.25,33924,459,39,65.01
2022-06-05,CAMP-1042,Facebook,4771.66,80906,3589,192,24.85
2022-06-05,CAMP-1043,TikTok,3346.34,190312,8532,458,7.31
2022-06-05,CAMP-1044,Facebook,2279.85,95374,3650,267,8.54
2022-06-05,CAMP-1045,LinkedIn,1757.7,79977,3376,333,5.28
2022-06-05,CAMP-1046,Facebook,2158.48,157442,5343,486,4.44
2022-06-05,CAMP-1047,Facebook,3139.39,233550,2401,165,19.03
2022-06-05,CAMP-1048,TikTok,3968.59,307588,12918,409,9.7
2022-06-05,CAMP-1049,LinkedIn,1790.4,91458,2430,123,14.56
2022-06-05,CAMP-1050,TikTok,3899.95,335578,5375,439,8.88
