date,shipment_id,origin,destination,weight_kg,cost_usd,transit_time_days,is_delayed
2022-01-01,SHP-100000,Miami,Houston,993.93,2314.75,14,0
2022-01-01,SHP-100001,NY,Seattle,2304.03,1387.29,3,0
2022-01-01,SHP-100002,LA,Seattle,3607.44,3974.78,10,0
2022-01-01,SHP-100003,Seattle,LA,2198.09,4286.04,12,0
2022-01-01,SHP-100004,Miami,NY,3470.79,5227.15,5,0
2022-01-01,SHP-100005,LA,Seattle,4200.96,2574.77,10,0
2022-01-02,SHP-100006,Houston,Miami,343.38,473.97,13,0
2022-01-02,SHP-100007,Chicago,Houston,1658.94,1859.19,19,1
2022-01-02,SHP-100008,Chicago,Houston,1573.87,1284.33,22,1
2022-01-02,SHP-100009,NY,LA,229.85,162.73,5,0
2022-01-02,SHP-100010,Houston,Miami,3440.02,6726.35,5,1
2022-01-02,SHP-100011,Houston,Seattle,3975.5,7379.12,4,1
2022-01-02,SHP-100012,Chicago,Seattle,2782.64,6887.57,10,1
2022-01-03,SHP-100013,LA,Miami,4592.15,3671.56,9,0
2022-01-03,SHP-100014,Miami,Chicago,4224.17,6133.19,12,0
2022-01-03,SHP-100015,LA,Miami,4794.52,11951.23,1,0
2022-01-03,SHP-100016,Houston,NY,4509.35,9405.24,6,0
2022-01-03,SHP-100017,LA,Seattle,1394.46,3430.13,14,0
2022-01-03,SHP-100018,Seattle,LA,4949.66,8850.13,12,0
2022-01-04,SHP-100019,Houston,Miami,1670.31,3631.64,5,0
2022-01-04,SHP-100020,Houston,LA,931.04,1003.36,5,0
2022-01-04,SHP-100021,NY,LA,3912.79,5800.91,14,0
2022-01-04,SHP-100022,Miami,Chicago,1289.13,3080.86,11,1
2022-01-04,SHP-100023,LA,NY,2836.55,3003.66,12,0
2022-01-04,SHP-100024,Seattle,LA,4156.86,9984.05,13,0
2022-01-04,SHP-100025,Seattle,Chicago,3700.75,8846.15,2,0
2022-01-04,SHP-100026,NY,Chicago,3258.97,1646.93,8,0
2022-01-04,SHP-100027,Seattle,Miami,2286.84,2051.8,5,0
2022-01-04,SHP-100028,LA,Miami,918.02,1439.55,11,0
2022-01-04,SHP-100029,NY,Chicago,2793.87,2734.99,14,0
2022-01-05,SHP-100030,NY,Seattle,3628.88,4608.2,1,0
2022-01-05,SHP-100031,Houston,Chicago,3780.79,6910.63,11,0
2022-01-05,SHP-100032,Houston,Seattle,1583.04,2674.88,3,0
2022-01-05,SHP-100033,Miami,Seattle,4551.86,4208.4,7,1
2022-01-05,SHP-100034,NY,Miami,3554.44,6454.61,2,0
2022-01-05,SHP-100035,Houston,Miami,4428.35,7101.2,4,0
2022-01-06,SHP-100036,NY,Houston,3348.94,2362.77,4,0
2022-01-06,SHP-100037,LA,Chicago,1840.18,4251.08,11,0
2022-01-06,SHP-100038,Seattle,Miami,1884.14,2005.33,5,0
2022-01-06,SHP-100039,Houston,Seattle,934.9,2007.87,14,0
2022-01-06,SHP-100040,Miami,LA,2669.31,4585.42,14,0
2022-01-07,SHP-100041,NY,Chicago,1558.1,932.25,2,0
2022-01-07,SHP-100042,Chicago,Houston,920.11,1196.65,14,0
